x1, y1, z1, x2, y2, z2, Metrology_Out
0, 0.006, 0, 0.014, 0.006, 0, 0.000117608346385133
0, 0.006, 0.001, 0.014, 0.006, 0.001, 0.0102546147893499
0, 0.006, 0.002, 0.014, 0.006, 0.002, 0.0100340269806329
0, 0.006, 0.003, 0.014, 0.006, 0.003, 0.00999848414419511
0, 0.006, 0.004, 0.014, 0.006, 0.004, 0.0100007222598415
0, 0.006, 0.005, 0.014, 0.006, 0.005, 0.0100087721948653
0, 0.006, 0.006, 0.014, 0.006, 0.006, 0.00995323195708753
0, 0.006, 0.007, 0.014, 0.006, 0.007, 0.00999541647495268
0, 0.006, 0.008, 0.014, 0.006, 0.008, 0.0100183035049728
0, 0.006, 0.009000000000000001, 0.014, 0.006, 0.009000000000000001, 0.0102393193629519
0, 0.006, 0.010000000000000002, 0.014, 0.006, 0.010000000000000002, 0.000148932408038128
0, 0.006, 0.011000000000000003, 0.014, 0.006, 0.011000000000000003, 0
0, 0.006, 0.012000000000000004, 0.014, 0.006, 0.012000000000000004, 0
0, 0.006, 0.013000000000000005, 0.014, 0.006, 0.013000000000000005, 0
0, 0.006, 0.014000000000000005, 0.014, 0.006, 0.014000000000000005, 0
0, 0.006, 0.015000000000000006, 0.014, 0.006, 0.015000000000000006, 4.39081500647549e-05
0, 0.006, 0.016000000000000007, 0.014, 0.006, 0.016000000000000007, 0.0100043514048322
0, 0.006, 0.017000000000000008, 0.014, 0.006, 0.017000000000000008, 0.0100186034653447
0, 0.006, 0.01800000000000001, 0.014, 0.006, 0.01800000000000001, 0.00996041982567197
0, 0.006, 0.01900000000000001, 0.014, 0.006, 0.01900000000000001, 0.0100191934708559
0, 0.006, 0.02000000000000001, 0.014, 0.006, 0.02000000000000001, 0.00997009093251195
0, 0.006, 0.02100000000000001, 0.014, 0.006, 0.02100000000000001, 0.00989999990319568
0, 0.006, 0.022000000000000013, 0.014, 0.006, 0.022000000000000013, 0.0100097430472308
0, 0.006, 0.023000000000000013, 0.014, 0.006, 0.023000000000000013, 0.00997234204346091
0, 0.006, 0.024000000000000014, 0.014, 0.006, 0.024000000000000014, 0.0100366303773808
0, 0.006, 0.025000000000000015, 0.014, 0.006, 0.025000000000000015, 0.000161417646888774
0, 0.006, 0.026000000000000016, 0.014, 0.006, 0.026000000000000016, 0
0, 0.006, 0.027000000000000017, 0.014, 0.006, 0.027000000000000017, 0
0, 0.006, 0.028000000000000018, 0.014, 0.006, 0.028000000000000018, 0
0, 0.006, 0.02900000000000002, 0.014, 0.006, 0.02900000000000002, 0
0, 0.006, 0.03000000000000002, 0.014, 0.006, 0.03000000000000002, 6.77753084231244e-05
0, 0.006, 0.03100000000000002, 0.014, 0.006, 0.03100000000000002, 0.00989999990319568
0, 0.006, 0.03200000000000002, 0.014, 0.006, 0.03200000000000002, 0.00971901214752103
0, 0.006, 0.03300000000000002, 0.014, 0.006, 0.03300000000000002, 0.00978545057145863
0, 0.006, 0.03400000000000002, 0.014, 0.006, 0.03400000000000002, 0.00973552606122941
0, 0.006, 0.035000000000000024, 0.014, 0.006, 0.035000000000000024, 0.00980227231335195
0, 0.006, 0.036000000000000025, 0.014, 0.006, 0.036000000000000025, 0.00971112837534413
0, 0.006, 0.037000000000000026, 0.014, 0.006, 0.037000000000000026, 0.00974385485658102
0, 0.006, 0.03800000000000003, 0.014, 0.006, 0.03800000000000003, 0.00976216660133032
0, 0.006, 0.03900000000000003, 0.014, 0.006, 0.03900000000000003, 0.00995906846619861
0, 0.007, 0, 0.014, 0.007, 0, 0.0102436540198038
0, 0.007, 0.001, 0.014, 0.007, 0.001, 0.0100349787803739
0, 0.007, 0.002, 0.014, 0.007, 0.002, 0.0099335058321295
0, 0.007, 0.003, 0.014, 0.007, 0.003, 0.00989999990319568
0, 0.007, 0.004, 0.014, 0.007, 0.004, 0.00988885040746463
0, 0.007, 0.005, 0.014, 0.007, 0.005, 0.00992872726670982
0, 0.007, 0.006, 0.014, 0.007, 0.006, 0.00993648854016703
0, 0.007, 0.007, 0.014, 0.007, 0.007, 0.00986081181063186
0, 0.007, 0.008, 0.014, 0.007, 0.008, 0.00986037573709448
0, 0.007, 0.009000000000000001, 0.014, 0.007, 0.009000000000000001, 0.0100291726293982
0, 0.007, 0.010000000000000002, 0.014, 0.007, 0.010000000000000002, 0.0101691232718215
0, 0.007, 0.011000000000000003, 0.014, 0.007, 0.011000000000000003, 0
0, 0.007, 0.012000000000000004, 0.014, 0.007, 0.012000000000000004, 0
0, 0.007, 0.013000000000000005, 0.014, 0.007, 0.013000000000000005, 0
0, 0.007, 0.014000000000000005, 0.014, 0.007, 0.014000000000000005, 0
0, 0.007, 0.015000000000000006, 0.014, 0.007, 0.015000000000000006, 0.00994384069852238
0, 0.007, 0.016000000000000007, 0.014, 0.007, 0.016000000000000007, 0.00989999990319568
0, 0.007, 0.017000000000000008, 0.014, 0.007, 0.017000000000000008, 0.00989793696261831
0, 0.007, 0.01800000000000001, 0.014, 0.007, 0.01800000000000001, 0.00989999990319568
0, 0.007, 0.01900000000000001, 0.014, 0.007, 0.01900000000000001, 0.00979058186971206
0, 0.007, 0.02000000000000001, 0.014, 0.007, 0.02000000000000001, 0.00980570822306643
0, 0.007, 0.02100000000000001, 0.014, 0.007, 0.02100000000000001, 0.00976524164664747
0, 0.007, 0.022000000000000013, 0.014, 0.007, 0.022000000000000013, 0.0098969755873912
0, 0.007, 0.023000000000000013, 0.014, 0.007, 0.023000000000000013, 0.00989999990319568
0, 0.007, 0.024000000000000014, 0.014, 0.007, 0.024000000000000014, 0.00989999990319568
0, 0.007, 0.025000000000000015, 0.014, 0.007, 0.025000000000000015, 0.000299701914240929
0, 0.007, 0.026000000000000016, 0.014, 0.007, 0.026000000000000016, 0
0, 0.007, 0.027000000000000017, 0.014, 0.007, 0.027000000000000017, 0
0, 0.007, 0.028000000000000018, 0.014, 0.007, 0.028000000000000018, 0
0, 0.007, 0.02900000000000002, 0.014, 0.007, 0.02900000000000002, 0
0, 0.007, 0.03000000000000002, 0.014, 0.007, 0.03000000000000002, 0.00986507325956957
0, 0.007, 0.03100000000000002, 0.014, 0.007, 0.03100000000000002, 0.00959999990612914
0, 0.007, 0.03200000000000002, 0.014, 0.007, 0.03200000000000002, 0.0096181295389464
0, 0.007, 0.03300000000000002, 0.014, 0.007, 0.03300000000000002, 0.00959999990612914
0, 0.007, 0.03400000000000002, 0.014, 0.007, 0.03400000000000002, 0.00956303532905414
0, 0.007, 0.035000000000000024, 0.014, 0.007, 0.035000000000000024, 0.00962420511222705
0, 0.007, 0.036000000000000025, 0.014, 0.007, 0.036000000000000025, 0.00959999990612914
0, 0.007, 0.037000000000000026, 0.014, 0.007, 0.037000000000000026, 0.00952043049562942
0, 0.007, 0.03800000000000003, 0.014, 0.007, 0.03800000000000003, 0.00967267488617813
0, 0.007, 0.03900000000000003, 0.014, 0.007, 0.03900000000000003, 0.0098349935821627
0, 0.008, 0, 0.014, 0.008, 0, 0.0101729989953482
0, 0.008, 0.001, 0.014, 0.008, 0.001, 0.010015384517452
0, 0.008, 0.002, 0.014, 0.008, 0.002, 0.00989999990319568
0, 0.008, 0.003, 0.014, 0.008, 0.003, 0.00972779996717826
0, 0.008, 0.004, 0.014, 0.008, 0.004, 0.00975142092110321
0, 0.008, 0.005, 0.014, 0.008, 0.005, 0.00979648719983544
0, 0.008, 0.006, 0.014, 0.008, 0.006, 0.00987659401772813
0, 0.008, 0.007, 0.014, 0.008, 0.007, 0.00977289888839388
0, 0.008, 0.008, 0.014, 0.008, 0.008, 0.00975438088177335
0, 0.008, 0.009000000000000001, 0.014, 0.008, 0.009000000000000001, 0.00989999990319568
0, 0.008, 0.010000000000000002, 0.014, 0.008, 0.010000000000000002, 0.0099618983902751
0, 0.008, 0.011000000000000003, 0.014, 0.008, 0.011000000000000003, 0
0, 0.008, 0.012000000000000004, 0.014, 0.008, 0.012000000000000004, 0
0, 0.008, 0.013000000000000005, 0.014, 0.008, 0.013000000000000005, 0
0, 0.008, 0.014000000000000005, 0.014, 0.008, 0.014000000000000005, 0
0, 0.008, 0.015000000000000006, 0.014, 0.008, 0.015000000000000006, 0.00991393047413872
0, 0.008, 0.016000000000000007, 0.014, 0.008, 0.016000000000000007, 0.00989999990319568
0, 0.008, 0.017000000000000008, 0.014, 0.008, 0.017000000000000008, 0.00959999990612914
0, 0.008, 0.01800000000000001, 0.014, 0.008, 0.01800000000000001, 0.0097195922646218
0, 0.008, 0.01900000000000001, 0.014, 0.008, 0.01900000000000001, 0.00973457047957372
0, 0.008, 0.02000000000000001, 0.014, 0.008, 0.02000000000000001, 0.00976071419027193
0, 0.008, 0.02100000000000001, 0.014, 0.008, 0.02100000000000001, 0.00968899767461468
0, 0.008, 0.022000000000000013, 0.014, 0.008, 0.022000000000000013, 0.00971818172315535
0, 0.008, 0.023000000000000013, 0.014, 0.008, 0.023000000000000013, 0.00959999990612914
0, 0.008, 0.024000000000000014, 0.014, 0.008, 0.024000000000000014, 0.00989999990319568
0, 0.008, 0.025000000000000015, 0.014, 0.008, 0.025000000000000015, 0.000131229676513171
0, 0.008, 0.026000000000000016, 0.014, 0.008, 0.026000000000000016, 0
0, 0.008, 0.027000000000000017, 0.014, 0.008, 0.027000000000000017, 0
0, 0.008, 0.028000000000000018, 0.014, 0.008, 0.028000000000000018, 0
0, 0.008, 0.02900000000000002, 0.014, 0.008, 0.02900000000000002, 0
0, 0.008, 0.03000000000000002, 0.014, 0.008, 0.03000000000000002, 0.0095716435992033
0, 0.008, 0.03100000000000002, 0.014, 0.008, 0.03100000000000002, 0.00961541630685802
0, 0.008, 0.03200000000000002, 0.014, 0.008, 0.03200000000000002, 0.00947911739617224
0, 0.008, 0.03300000000000002, 0.014, 0.008, 0.03300000000000002, 0.00948646207116451
0, 0.008, 0.03400000000000002, 0.014, 0.008, 0.03400000000000002, 0.00929999990906261
0, 0.008, 0.035000000000000024, 0.014, 0.008, 0.035000000000000024, 0.00947123570717765
0, 0.008, 0.036000000000000025, 0.014, 0.008, 0.036000000000000025, 0.00948371455932767
0, 0.008, 0.037000000000000026, 0.014, 0.008, 0.037000000000000026, 0.00959999990612914
